# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_0p900
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:09:05.264969
# Alpha: 0.9
# Length cost: 0.7540323596824643
# Obstacle cost: 9.140330603462637
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
8.9000,-0.126999,-0.577498,0.605486,2.559956,0.155991,1.178414,-1.570749
9.0000,-0.127910,-0.580015,0.603436,2.560396,0.156677,1.178862,-1.570734
9.1000,-0.128232,-0.581617,0.600564,2.560856,0.157119,1.179111,-1.570720
9.2000,-0.128555,-0.583219,0.597692,2.561317,0.157560,1.179359,-1.570707
9.3000,-0.128877,-0.584821,0.594820,2.561777,0.158002,1.179608,-1.570694
9.4000,-0.129200,-0.586423,0.591948,2.562238,0.158443,1.179857,-1.570680
9.5000,-0.129522,-0.588025,0.589076,2.562698,0.158885,1.180106,-1.570667
9.6000,-0.129284,-0.588538,0.585626,2.563138,0.159055,1.180126,-1.570634
9.7000,-0.129046,-0.589052,0.582176,2.563579,0.159226,1.180146,-1.570600
9.8000,-0.128807,-0.589565,0.578726,2.564019,0.159396,1.180166,-1.570567
9.9000,-0.128569,-0.590078,0.575276,2.564459,0.159566,1.180186,-1.570533
10.0000,-0.128330,-0.590592,0.571827,2.564900,0.159736,1.180206,-1.570500
10.1000,-0.127592,-0.589938,0.567904,2.565295,0.159642,1.179997,-1.570461
10.2000,-0.126853,-0.589285,0.563981,2.565689,0.159547,1.179788,-1.570423
10.3000,-0.126114,-0.588631,0.560058,2.566084,0.159452,1.179579,-1.570384
10.4000,-0.125376,-0.587978,0.556135,2.566479,0.159357,1.179371,-1.570345
10.5000,-0.124637,-0.587325,0.552212,2.566874,0.159262,1.179162,-1.570306
10.6000,-0.123646,-0.585418,0.547799,2.567201,0.158948,1.178770,-1.570279
10.7000,-0.122654,-0.583512,0.543386,2.567528,0.158633,1.178378,-1.570251
10.8000,-0.121662,-0.581606,0.538973,2.567855,0.158318,1.177986,-1.570224
10.9000,-0.120671,-0.579700,0.534559,2.568181,0.158004,1.177595,-1.570196
11.0000,-0.119679,-0.577794,0.530146,2.568508,0.157689,1.177203,-1.570169
11.1000,-0.118432,-0.574601,0.525340,2.568732,0.157163,1.176646,-1.570159
11.2000,-0.117185,-0.571407,0.520533,2.568955,0.156636,1.176089,-1.570149
